company,model,rating,date
Anthropic,claude-v1,1224.0,1683504000
OpenAI,gpt-3.5-turbo,1155.0,1683504000
LMSYS,vicuna-13b,1083.0,1683504000
Berkeley,koala-13b,1022.0,1683504000
BlinkDL,RWKV-4-Raven-14B,989.0,1683504000
Unknown,oasst-pythia-12b,928.0,1683504000
Zhipu AI,chatglm-6b,918.0,1683504000
Stability AI,stablelm-tuned-alpha-7b,906.0,1683504000
Stanford,alpaca-13b,904.0,1683504000
Meta,llama-13b,826.0,1683504000
Anthropic,claude-v1,1195.0,1684713600
OpenAI,gpt-3.5-turbo,1143.0,1684713600
LMSYS,vicuna-13b,1054.0,1684713600
Google,palm-2,1042.0,1684713600
Berkeley,koala-13b,980.0,1684713600
Databricks,mpt-7b-chat,952.0,1684713600
Unknown,fastchat-t5-3b,941.0,1684713600
Stanford,alpaca-13b,937.0,1684713600
BlinkDL,RWKV-4-Raven-14B,928.0,1684713600
Zhipu AI,chatglm-6b,921.0,1684713600
Stability AI,stablelm-tuned-alpha-7b,882.0,1684713600
Meta,llama-13b,854.0,1684713600
Anthropic,claude-v1,1178.0,1687132800
OpenAI,gpt-3.5-turbo,1130.0,1687132800
Unknown,guanaco-33b,1065.0,1687132800
LMSYS,vicuna-13b,1061.0,1687132800
WizardTeam,wizardlm-13b,1048.0,1687132800
Google,palm-2,1038.0,1687132800
Berkeley,koala-13b,992.0,1687132800
Databricks,mpt-7b-chat,956.0,1687132800
BlinkDL,RWKV-4-Raven-14B,950.0,1687132800
Stanford,alpaca-13b,930.0,1687132800
Zhipu AI,chatglm-6b,905.0,1687132800
Stability AI,stablelm-tuned-alpha-7b,871.0,1687132800
Meta,llama-13b,826.0,1687132800
Anthropic,claude-v1,1169.0,1689552000
OpenAI,gpt-3.5-turbo,1124.0,1689552000
LMSYS,vicuna-33b,1096.0,1689552000
Databricks,mpt-30b-chat,1049.0,1689552000
Unknown,guanaco-33b,1044.0,1689552000
WizardTeam,wizardlm-13b,1043.0,1689552000
Google,palm-2,1019.0,1689552000
Berkeley,koala-13b,987.0,1689552000
BlinkDL,RWKV-4-Raven-14B,946.0,1689552000
Stanford,alpaca-13b,926.0,1689552000
Zhipu AI,chatglm-6b,904.0,1689552000
Stability AI,stablelm-tuned-alpha-7b,867.0,1689552000
Meta,llama-13b,821.0,1689552000
Anthropic,claude-1,1166.0,1690934400
OpenAI,gpt-3.5-turbo,1122.0,1690934400
LMSYS,vicuna-33b,1096.0,1690934400
Databricks,mpt-30b-chat,1046.0,1690934400
WizardTeam,wizardlm-13b,1040.0,1690934400
Unknown,guanaco-33b,1038.0,1690934400
Google,palm-2,1015.0,1690934400
Meta,llama-2-13b-chat,987.0,1690934400
Berkeley,koala-13b,983.0,1690934400
BlinkDL,RWKV-4-Raven-14B,943.0,1690934400
Stanford,alpaca-13b,923.0,1690934400
Zhipu AI,chatglm-6b,900.0,1690934400
Stability AI,stablelm-tuned-alpha-7b,863.0,1690934400
Anthropic,claude-1,1161.0,1693872000
OpenAI,gpt-3.5-turbo,1118.0,1693872000
LMSYS,vicuna-33b,1097.0,1693872000
Meta,llama-2-70b-chat,1060.0,1693872000
WizardTeam,wizardlm-13b,1046.0,1693872000
Databricks,mpt-30b-chat,1043.0,1693872000
Unknown,guanaco-33b,1036.0,1693872000
Google,palm-2,1008.0,1693872000
Berkeley,koala-13b,979.0,1693872000
Zhipu AI,chatglm2-6b,965.0,1693872000
BlinkDL,RWKV-4-Raven-14B,939.0,1693872000
Stanford,alpaca-13b,919.0,1693872000
Stability AI,stablelm-tuned-alpha-7b,859.0,1693872000
Anthropic,claude-1,1155.0,1696204800
OpenAI,gpt-3.5-turbo,1115.0,1696204800
WizardTeam,wizardlm-70b,1099.0,1696204800
LMSYS,vicuna-33b,1092.0,1696204800
Meta,llama-2-70b-chat,1051.0,1696204800
Databricks,mpt-30b-chat,1039.0,1696204800
Mistral AI,mistral-7b-instruct,1031.0,1696204800
Unknown,guanaco-33b,1031.0,1696204800
Google,palm-2,1002.0,1696204800
Berkeley,koala-13b,973.0,1696204800
Zhipu AI,chatglm2-6b,945.0,1696204800
BlinkDL,RWKV-4-Raven-14B,933.0,1696204800
Stanford,alpaca-13b,914.0,1696204800
Stability AI,stablelm-tuned-alpha-7b,853.0,1696204800
Anthropic,claude-1,1153.0,1699401600
OpenAI,gpt-3.5-turbo,1109.0,1699401600
WizardTeam,wizardlm-70b,1096.0,1699401600
LMSYS,vicuna-33b,1095.0,1699401600
Meta,llama-2-70b-chat,1072.0,1699401600
Unknown,openchat-3.5,1066.0,1699401600
Databricks,mpt-30b-chat,1038.0,1699401600
Alibaba,qwen-14b-chat,1031.0,1699401600
TII,falcon-180b-chat,1031.0,1699401600
Mistral AI,mistral-7b-instruct,1013.0,1699401600
Google,palm-2,996.0,1699401600
Berkeley,koala-13b,960.0,1699401600
